sno,date,street,postal code,city,extra
91,01/03/2019,UL. WYSZYŃSKIEGO 17,97-500,RADOMSKO,
92,01/03/2019,"TUSZYŃSKA 72/74, 95-030, "RZGÓW",
93,01/03/2019,Kościuszki 1,97-425,Zelów,
94,01/03/2019,CIASNA 4/28,93-547,ŁÓDŹ,
95,01/03/2019,Chopina 5,95-100,Zgierz,
96,01/03/2019,PIOTRKOWSKA 17,98-100,ŁASK,
97,04/03/2019,"ul. 20 stycznia 58, Pabianice",,Pabianice,
98,04/03/2019,Zachodnia 105,90-723,Łódź,
99,04/03/2019,Zelazna 59a,00-848,Warszawa,
100,05/03/2019,UL. PARKOWA 65,71-621,SZCZECIN,
101,05/03/2019,UL. MAJORA WŁADYSŁAWA RAGINISA,71-625,SZCZECIN,
103,05/03/2019,UL. POLSKICH MARYNARZY 10/16,71-050,SZCZECIN,
104,05/03/2019,UL. WOJSKA POLSKIEGO 27,73-110,STARGARD SZCZECIŃSKI,
105,05/03/2019,STRZELECKA 40,74-300,MYŚLIBÓRZ,
106,05/03/2019,POMORSKA 6,74-304,NOWOGRÓDEK POMORSKI,
107,05/03/2019,KRUSZWIN 1A,74-300,MYŚLIBÓRZ,
108,05/03/2019,"SITNO, UL. PYRZYCKA 4",74-300,MYŚLIBÓRZ,
109,05/03/2019,Piastowska 63,72-600,swinoujscie,
110,05/03/2019,GORZOWSKA 50,66-460,WITNICA,
112,06/03/2019,"pl. Kościuszki 1, Aleksandrów Łódzki",,Aleksandrów Łódzki,
113,06/03/2019,CHOTÓW 52,98-345,Mokrsko,
114,06/03/2019,UL. ŻEROMSKIEGO 2,98-300,WIELUŃ,
115,06/03/2019,Wojska Polskiego 69,97-400,Belchatow,
116,06/03/2019,RYCHŁOWICE 34A,98-300,WIELUŃ,
117,06/03/2019,Witolda Budryka 69,97-400,Bełchatów,
118,06/03/2019,Armii Krajowej 9,97-300,Piotrkow Tryb.,
119,07/03/2019,AL. PIŁSUDSKIEGO 138,92-230,ŁÓDŹ,
120,07/03/2019,UL. NAWROT 2A,90-060,ŁÓDŹ,
121,07/03/2019,WIĘCKOWSKIEGO 77,90-757,ŁÓDŹ,
122,07/03/2019,ul. Piotrkowska 138/140,90-062,Łódź,
127,07/03/2019,ul. Pabianicka 245,90-001,"Łódź",
128,07/03/2019,Kaliska 8,99-400,lowicz,
129,07/03/2019,PIOTRKOWSKA 317 BOKS 13,93-035,ŁÓDŹ,
130,08/03/2019,UL. MOŚCICKIEGO 19,97-215,SPAŁA,
131,08/03/2019,LESZKA CZARNEGO 15,97-500,RADOMSKO,
132,08/03/2019,PIASTOWSKA 8,97-500,RADOMSKO,
135,08/03/2019,ŁOWICKA 17,96-100,SKIERNIEWICE,
136,08/03/2019,MIŁA 7 A,97-500,RADOMSKO,
137,08/03/2019,Piastowska 24a,97-500,Radomsko,
138,08/03/2019,STAROWIEJSKA 13 A,97-500,RADOMSKO,
139,08/03/2019,ŁOKIETKA 17,97-500,RADOMSKO,
140,08/03/2019,UL. KIELECKA 120,27-400,SZEWNA,
141,11/03/2019,Narutowicza 6a,99-200,Poddebice,
142,11/03/2019,ROJNA 19,91-142,ŁÓDŻ,
143,11/03/2019,ALEJA POKOJU 13A,98-200,SIERADZ,
144,11/03/2019,"ul. Sienkiewicza 5, Turek",,Turek,
145,12/03/2019,UL. PIOTRKOWSKA 124,90-006,ŁÓDŹ,
146,12/03/2019,ul. Brukowa 12,91-341,Łódź,
147,12/03/2019,WARSZAWSKA 13,97-200,TOMASZÓW MAZOWIECKI,
148,12/03/2019,Sw. Antoniego 81,97-200,Tomaszów mazowiecki,
149,12/03/2019,ul. Pabianicka 245,90-001,"Łódź",
150,12/03/2019,WADLEW 86A,97-403,DRUŻBICE,
151,13/03/2019,UL. JÓZEFA PIŁSUDSKIEGO 15/23,90-307,ŁÓDŹ,
152,13/03/2019,"pl. Bankowy 1, Ostrów Wielkopolski",,Ostrów Wielkopolski,
153,13/03/2019,"ul. Kaliska 21, Turek",,Turek,
154,13/03/2019,"ul. Starzyńskiego 8, Ozorków",,Ozorków,
155,13/03/2019,ul. Wici 6,91-213,Łódź,
156,13/03/2019,Pilsudskiego 8,98-200,Sieradz,
157,13/03/2019,ZGIERSKA 51 LOK.3U,91-446,ŁÓDŹ,
158,13/03/2019,ALEJA POKOJU 13A,98-200,SIERADZ,
159,13/03/2019,UL. ODOLANOWSKA 46,91-012,Łódź,
160,14/03/2019,Zamenhofa 2,90-431,lodz,
161,14/03/2019,"ul. Kościelna 12, Łask",,Łask,
162,15/03/2019,ROJNA 25,91-041,ŁÓDŹ,
163,15/03/2019,"pl. Kilińskiego 11, Zgierz",,Zgierz,
164,18/03/2019,Pilsudskiego 8,98-200,Sieradz,
165,18/03/2019,WRÓBLEWSKIEGO 118,94-036,ŁÓDŹ,
166,19/03/2019,PIOTRKOWSKA 317 LOK. 127 109 L,93-035,"ŁÓDŹ",
167,19/03/2019,Słowiańska 45,95-070,Rąbień,
168,19/03/2019,ul Białostocka 7e,93-355,Łódź,
169,20/03/2019,Długa 26 36,85-034,Bydgoszcz,
170,20/03/2019,"TATRZAŃSKA 109 LOK. 28",93-115,"ŁÓDŹ",
171,20/03/2019,"TATRZAŃSKA 10 LOK. 1",93-115,"ŁÓDŹ",
172,20/03/2019,NOWE MIASTO 9,95-035,OZORKÓW,
174,20/03/2019,Długa 26/36,85-034,Bydgoszcz,
175,20/03/2019,REWOLUCJI 1905 R. 82/D,91-223,"Łodź",
176,21/03/2019,ŁÓDZKA 60,97-300,PIOTRKÓW TRYB.,
177,21/03/2019,Narutowicza 6a,99-200,Poddebice,
178,21/03/2019,Fabryczna 1/3,97-300,Piotrków Trybunalski,
179,21/03/2019,JAGIELLOŃSKA 8,97-300,PIOTRKÓW TRYB,
180,21/03/2019,"ul. 3 maja 4/2, Kalisz",,Kalisz,
181,21/03/2019,"ul. Raszkowska 29, Ostrów Wielkopolski",,Ostrów Wielkopolski,
182,21/03/2019,WARSZAWSKA 72,95-200,PABIANICE,
183,21/03/2019,JAGIELLOŃSKA 26A,98-200,SIERADZ,
184,22/03/2019,UL. KOŚCIUSZKI 1,97-400,BEŁCHATÓW,
185,22/03/2019,"ul. Warszawska 10/14, Tomaszów Mazowiecki",,Tomaszów Mazowiecki,
186,22/03/2019,"pl. Jagiełły 17, Wolbórz",,Wolbórz,
187,25/03/2019,UL. KILIŃSKIEGO 21,90-205,ŁÓDŹ,
188,25/03/2019,UL. RAJDOWA 8,94-003,ŁÓDŹ,
189,25/03/2019,CZĘSTOCHOWSKA 22 A,98-300,WIELUŃ,
190,25/03/2019,Narutowicza 6a,99-200,Poddebice,
191,26/03/2019,UL. SZPARAGOWA 7,91-211,ŁÓDŹ,
192,26/03/2019,SIERAKOWSKIEGO 3,97-500,RADOMSKO,
193,26/03/2019,"ul. Wojska polskiego 69, Aleksandrów Łódzki",,Aleksandrów Łódzki,
194,26/03/2019,"ul. Kościuszki 4A, Bełchatów",,Bełchatów,
195,26/03/2019,CZĘSTOCHOWSKA 2,97-400,Bełchatów,
196,26/03/2019,POŁUDNIOWA 57,97-500,KIETLIN,
197,26/03/2019,Piastowska 24a,97-500,Radomsko,
198,26/03/2019,"Gdańska 126/128",90-520,"ŁÓDŹ",
199,27/03/2019,UL. BRZEZIŃSKA 27,95-047,JEŻÓW,
200,27/03/2019,UL. KOPERNIKA 5,96-100,SKIERNIEWICE,
201,27/03/2019,UL. ZDUŃSKA 48,99-400,ŁOWICZ,
202,27/03/2019,"ul. Wojska polskiego 69, Aleksandrów Łódzki",,Aleksandrów Łódzki,
203,27/03/2019,Stary Rynek 13,99-400,Łowicz,
204,28/03/2019,UL. GOGOLA 12,92-513,ŁÓDŹ,
205,28/03/2019,"ul. Zamkowa 34, Pabianice",,Pabianice,
206,28/03/2019,PRZYBYSZEWSKIEGO 147 -151,93-110,ŁÓDŹ,
207,28/03/2019,"Gdańska 126/128",90-520,"ŁÓDŹ",
208,29/03/2019,UL. POPIEŁUSZKI 1,98-300,WIELUŃ,
209,29/03/2019,UL. STEFANA STARZYŃSKIEGO 10-,99-400,ŁOWICZ,
210,29/03/2019,JUTRZKOWICKA 53,95-200,PABIANICE,
211,29/03/2019,UL. OPIESIŃSKA 6A,98-220,ZDUŃSKA WOLA,
212,29/03/2019,ul. Pabianicka 245,90-001,"Łódź",
214,29/03/2019,Ul.SIKORKOWA 10,98-100,WRONOWICE,
215,29/03/2019,UL. SIERADZKA 19, 98-235,BŁASZKI,
216,01/04/2019,UL. DREWNOWSKA 58,91-002,ŁÓDŹ,
217,01/04/2019,ZDZIESZULICE GÓRNE 44A,97-400,BEŁCHATÓW,
218,01/04/2019,Fabryczna 1/3,97-300,Piotrków Trybunalski,
219,01/04/2019,Mlawska 12,87-500,Rypin,
220,01/04/2019,"pl. Kościuszki 9, Tomaszów Mazowiecki",,Tomaszów Mazowiecki,
221,01/04/2019,BARLICKIEGO 9,99-300,KUTNO,
222,01/04/2019,SADOWA 2,99-300,KUTNO,
225,02/04/2019,AL. PIŁSUDSKIEGO 84,90-368,ŁÓDŹ,
226,02/04/2019,UL. BRZEZIŃSKA 27/29,92-103,ŁÓDŹ,
227,02/04/2019,UL. NAWROCKIEGO 13A,95-200,PABIANICE,
