sno,date,street,postal code,city,extra
403,18/05/2019,AL. GRUNWALDZKA 1,98-200,SIERADZ,
404,18/05/2019,POLNA 32A,98-200,SIERADZ,
405,18/05/2019,KOL. SZCZERCOWSKA 4,97-420,SZCZERCÓW,
406,18/05/2019,RADOMSZCZAŃSKA 15,97-400,BEŁCHATÓW,
407,18/05/2019,PIOTRKOWSKA 90,97-425,ZELÓW,
408,18/05/2019,CMENTARNA 11,98-270,ZŁOCZEW,
409,18/05/2019,ŁASKA 41,97-420,SZCZERCÓW,
410,19/05/2019,CHĄŚNO 57,99-413,CHĄŚNO,
411,20/05/2019,UL. FRANCISZKAŃSKA 142/159,91-857,ŁÓDŹ,
412,20/05/2019,WICHERNIK 68,98-346,WICHERNIK,
413,20/05/2019,Paradna 46,93-345,Łódź,
414,20/05/2019,ul. Głowackiego 34,90-431,Wieluń,
415,20/05/2019,KAMIŃSKIEGO 18,90-229,ŁÓDŹ,
416,20/05/2019,"ul. Wspólna 60, Bełchatów",,BEŁCHATÓW,
417,21/05/2019,ŚWIATONIA 33,99-220,WARTKOWICE,
418,21/05/2019,ul. Ozorkowska 56A,95-039,Sokolniki-Las,
419,21/05/2019,BUGAJ 110,95-200,PABIANICE,
420,21/05/2019,POLNA 32A,98-200,SIERADZ,
421,21/05/2019,AL. GRUNWALDZKA 1,98-200,SIERADZ,
422,21/05/2019,Palestrancka 2,98-300,Wieluń,
423,21/05/2019,KASZEW 22,98-215,KASZEW,
424,21/05/2019,KALISKA 26,98-215,GOSZCZANÓW,
425,21/05/2019,"ul. Grunwaldzka 5, Kutno",,Kutno,
426,21/05/2019,"ul. Szkolna 1A, Opatówek",,Opatówek,
427,21/05/2019,ŚWIATONIA 33,99-220,WARTKOWICE,
428,22/05/2019,UL. DĄBRÓWKI 12/5,92-413,ŁÓDŹ,
429,22/05/2019,ŁÓDZKA 25,95-054,KSAWERÓW,
430,22/05/2019,GŁÓWNA 49A,95-020,JANÓWKA,
431,22/05/2019,"ul. Staszica 8, Brzeziny",,Brzeziny,
432,22/05/2019,"ul. Pabianicka 1, Lutomiersk",,Lutomiersk,
433,23/05/2019,ul. Rokicińska 190,,Łódź,
434,23/05/2019,UL. JARZYNOWA 34/1,94-204,ŁÓDŹ,
435,23/05/2019,TATRZAŃSKA109 LOK. 28,93-115,"ŁÓDŹ",
436,24/05/2019,UL. MIERZYCE 159B,98-324,WIERZCHLAS,
437,24/05/2019,OSTRÓWEK 113,98-311,OSTRÓWEK,
438,24/05/2019,CZARNOŻYŁY 111,98-310,CZARNOŻYŁY,
439,24/05/2019,JANKI 80,98-330,PAJĘCZNO,
440,24/05/2019,ul. Piłsudskiego 92,,Łódź,
441,24/05/2019,Wisniowa 10,98-330,Pajeczno,
442,24/05/2019,WARSZAWSKA 23,95-010,STRYKÓW,
443,24/05/2019,LODOWA 108,93-232,ŁÓDŹ,
444,24/05/2019,KONSTYTUCJI 3 MAJA 82,OZORKÓW,95-035,
445,24/05/2019,KOPERNIKA 1,STRZAŁKÓW,97-500,
446,24/05/2019,PLAC DOMINIKAŃSKI 7,GIDLE,97-540,
447,25/05/2019,JESIENNA 46,99-300,KUTNO,
448,25/05/2019,WYPYCHÓW 63,97-425,ZELÓW,
449,25/05/2019,UL.KASPRZAKA 24A,01-211,WARSZAWA,
450,25/05/2019,RYNEK 23B,98-260,BURZENIN,
451,26/05/2019,KOPERNIKA 1,STRZAŁKÓW,97-500,
452,26/05/2019,Powstańców Ślaskich 21,95-100,Zgierz,
453,26/05/2019,KRÓLEWSKA 6,98-220,ZDUŃSKA WOLA,
454,27/05/2019,JANA PAWŁA II 2,95-060,BRZEZINY,
455,27/05/2019,UL. ŁASKA 4,95-200,PABIANICE,
456,27/05/2019,BRONIEWSKIEGO 60A M 2,93-267,ŁÓDŹ,
457,27/05/2019,"ul. Płocka 18, Drobin",,Drobin,
458,27/05/2019,"ul. Bogumiła 64, Koło",,Koło,
459,27/05/2019,UL. ZELAZNA 59A,00-848,WARSZAWA,
460,27/05/2019,UL. BRZEZIŃSKA 27,95-047,JEŻÓW,
461,28/05/2019,BRZEZIŃSKA 77,92-111,ŁÓDZ,
462,28/05/2019,Budryka 69,97-400,Bełchatów,
463,28/05/2019,GŁÓWNA,97-200,TOMASZÓW MAZ,
464,28/05/2019,Piastowska 24a,97-500,Radomsko,
465,28/05/2019,Cielądz 59,,Cielądz,
466,29/05/2019,UL. PIRAMOWICZA 9,90-254,ŁÓDŹ,
467,29/05/2019,TRAKTOROWA 49,91-117,ŁÓDŹ,
468,30/05/2019,OS. WYSZYŃSKIEGO 40,98-300,WIELUŃ,
469,30/05/2019,UL. ŁASKA 72,95-200,PABIANICE,
470,30/05/2019,ul. Głowackiego 34,,Wieluń,
471,30/05/2019,UL. KARSKIEGO 5,91-071,ŁÓDŹ,
472,30/05/2019,AL. GRUNWALDZKA 1,98-200,SIERADZ,
473,30/05/2019,Wisniowa 10,98-330,Pajeczno,
474,31/05/2019,UL. POŁUDNIOWA 7,97-505,DOBRYSZYCE,
475,31/05/2019,Solidarnosci 1A,96-200,Rawa Maz.,
476,31/05/2019,"Regnów 95, Regnów",,Regnów,
477,03/06/2019,Kilińskiego 185,90-348,Łódź,
478,04/06/2019,OSTRÓW 7a,98-275,OSTRÓW,
479,04/06/2019,Armii Krajowej 22,,Piotrków Trybunalski,
480,04/06/2019,STARA RAWA 29,96-115,NOWY KAWĘCZYN,
481,04/06/2019,KRAKOWSKA 2,97-500,RADOMSKO,
482,04/06/2019,ŁAZISKO 164,97-200,TOMASZÓW MAZOWIECKI,
483,04/06/2019,ŁOWICKA 17,96-100,SKIERNIEWICE,
484,04/06/2019,KRAKOWSKA,96-200,RAWA MAZOWIECKA,
485,04/06/2019,"ul. Wojska Polskiego 58A, Bełchatów",,Bełchatów,
486,04/06/2019,JULIANÓW 50,96-200,RAWA MAZOWIECKA,
487,04/06/2019,Palestrancka 2,98-300,Wieluń,
488,04/06/2019,OSMOLIŃSKA 25B,98-220,ZDUŃSKA WOLA,
489,04/06/2019,SIENIEC 80D,98-300,WIELUŃ,
490,04/06/2019,PLAC LEGIONÓW 6,98-300,WIELUŃ,
491,05/06/2019,BRATYSŁAWSKA/WILEŃSKA,94-032,ŁÓDŹ,
492,05/06/2019,PARKOWA,95-080,TUSZYN,
493,05/06/2019,TUSZYŃSKA 16,95-080,ŻEROMIN,
495,05/06/2019,PARKOWA 3,95-080,TUSZYN,
496,05/06/2019,WYSOKA B/N,95-080,TUSZYN,
497,05/06/2019,ZALESICE POŁUDNIOWA 40,97-330,SULEJÓW,
498,05/06/2019,ul. Paderewskiego 6,93-509,ŁÓDŹ,
